text_clean,exclamation,emojis,links,hashtags,airline_sentiment
 let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin  uncomfortable,False,False,False,True,negative
what is your phone number  i cant find who to call about a flight reservation ,False,False,False,False,negative
is anyone doing anything there today  website is useless and no one is answering the phone ,False,False,False,False,negative
trying to add my boy prince to my ressie  sf this thursday from lax httptcoGsB2J3c4gM,False,False,True,False,neutral
why must a traveler miss a flight to late flight check a bag  i missed my morning appointments and you lost my business  sfo2lax,False,False,False,True,negative
check out new music httptcomaRcnOCWzn,False,False,True,False,neutral
hows a direct flight fll  sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight  sneaky,False,False,False,True,negative
your no late flight bag check just lost you my business  i missed flight and am apt  three other people on flight had same exp ,False,False,False,False,negative
 amazing customer service  again  💕 💕 raeann in sf  shes the best  customerservice virginamerica flying,True,False,False,True,positive
called your service line and was hung up on  this is awesome  sarcasm,False,False,False,True,negative
your site is tripping  im trying to check in and im getting the plain text version  i am reluctant to enter any card info ,False,False,False,False,negative
i was scheduled for sfo 2 dal flight 714 today  changed to 24th due weather  looks like flight still on ,False,False,False,False,neutral
has getaway deals through may  from  59 oneway  lots of cool cities httptcotZZJhuIbCH cheapflights farecompare,False,False,True,True,positive
has getaway deals through may  from  59 oneway  lots of cool cities httptcoRPdBpX3wNd cheapflights farecompare,False,False,True,True,neutral
has getaway deals through may  from  59 oneway  lots of cool cities httptcoB2Xi4YG5T8 cheapflights farecompare,False,False,True,True,positive
has getaway deals through may  from  59 oneway  lots of cool cities httptcoQDlJHslOI5 cheapflights farecompare,False,False,True,True,neutral
have a great week 🌞 ✈,False,False,False,False,positive
come back to phl already  we need you to take us out of this horrible cold  pleasecomeback httptcogLXFwP6nQH,False,False,True,True,positive
should i be concerned that i am about to fly on a plane that needs to be delayed due to a  tech stop  ,False,False,False,False,negative
is the best airline i have flown oneasy to change your reservation  helpful representatives  a comfortable flying experience,False,False,False,False,positive
and again  another rep kicked butt  naelah represents your team so beautifully   thank you   ,True,False,False,False,positive
your beautiful frontend design is down right now  but it was cool to still book my ticket b  c all your backend was secure ,False,False,False,False,positive
love the team running gate e9 at las tonight  waited for a delayed flight  and they kept things entertaining,False,False,False,False,positive
use another browser  2015  a brand with a reputation built on tech response doesnt have a crossbrowser compatible website ,True,False,False,False,negative
and now the flight flight booking problems site is totally down  folks  what is the problem ,False,False,False,False,negative
i like the customer service but a 40 min delay just for connecting passengers seems too long  va370,False,False,False,False,negative
thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight ,True,False,False,False,positive
you have the absolute best team and customer service ever  every time i fly with you im delighted  thank you ,True,False,False,False,positive
do you provide complimentary upgrades to first class  if there are available seats ,False,False,False,False,neutral
i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone  im calling intern  help  ,True,False,False,False,negative
completely awesome experience last month boslas nonstop  thanks for such an awesome flight and depart time  vabeatsjblue,False,False,False,True,positive
how can i watch the oscars2015 on my jfk  sfo flight ,False,False,False,True,neutral
is flight 882 cancelled flightled and what do i do if it is ,False,False,False,False,neutral
you are failing your customers because your check in process does not link to tsa precheck ,False,False,False,False,negative
us too  terrible airline  just gave us a hotel hotline number and said sorry,True,False,False,False,negative
has flight number 276 from sfo to cabo san lucas arrived yet ,False,False,False,False,neutral
your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you ,True,False,False,False,negative
another delayed flight  likingyoulessandless,False,False,False,True,negative
i need to register a service dog for a first class ticket from sfo  dulles  the phone queue is an hour or longer  pls advise,False,False,False,False,negative
you rock for making it so i can watch oscars on my flight   redcarpet oscars oscars2015,True,False,False,True,positive
 dropped a track on you  httpstcozv2pt6TRK9,False,False,True,False,neutral
always    xoxo,True,False,False,False,positive
why cant we book seats on your flights when we buy them or even during check in  creates so much anxiety  frustrated,True,False,False,True,negative
youd think paying an extra  100 bucks rt for luggage might afford you hiring an extra hand at lame,False,False,False,True,negative
best customer service rep in the world  irmafromdallas takes the cake   ,True,False,False,True,positive
can you find us a flt out of lax that is sooner than midnight on monday  that would be great customer service 😃,False,True,False,False,neutral
please provide status for flight 769  i cant imagine its on time as the web indicates dude to weather here and  or dallas,False,False,False,False,negative
you have amazing staff  super helpful as i just ran the princesshalf they have spoiled me with comfort   ,True,False,False,True,positive
i paid the premium to fly you across the country  you cancelled flight my flight and offer no check fee or upgrade love  sad face ,False,False,False,False,negative
question  is it not possible to book a seat for an infant under 2  its not giving me the option but we want a seat for him ,False,False,False,False,negative
always have it together    youre welcome  rt  youre so welcome ,True,False,False,False,positive
flight home to dc sunset globe in  backtowinter back to work  refreshed httptcoVX9vBCTdLf,True,False,True,True,positive
 i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy ,False,False,False,False,negative
 does that mean you dont have a policy for destroyed luggage ,False,False,False,False,negative
is there special assistance if i travel alone w  2 kids and 1 infant  priority boarding ,False,False,False,False,neutral
thank you for checking in  tickets are purchased and customer is happy ,False,False,False,False,positive
is your website ever coming back online ,False,False,False,False,neutral
 is flight 713 from love field to sfo definitely cancelled flightled for monday  february 23 ,False,False,False,False,neutral
is flight 0769 out of lga to dfw on time ,False,False,False,False,neutral
my drivers license is expired by a little over a month  can i fly friday morning using my expired license ,False,False,False,False,neutral
having problems flight booking problems on the web site  keeps giving me an error and to contact by phone  phone is 30 minute wait ,False,False,False,False,negative
how do i reschedule my cancelled flightled flights online  the change button is greyed out ,True,False,False,False,negative
i rang  but there is a wait for 35 minutes   i can book the same ticket through a vendor  fix your site,True,False,False,False,negative
got a flight  we were told  for 450 today   checked my email and its for 4  50 tomorrow  this is unacceptable ,False,False,False,False,negative
our flight into lga was cancelled flighted  were stuck in dallas  i called to reschedule  told i could get a flight for today   12 ,False,False,False,False,negative
why dont any of the pairings include red wine   only white is offered  redwineisbetter,True,False,False,True,negative
is the website down ,False,False,False,False,negative
 your site seems a little wonked right now  may want to have a look  tried on two browsers  no css  httptco8qsQMM7KF2,False,False,True,False,negative
im disappointed that the agent at the designated silver status check in line closed to assist all pasengers,False,False,False,False,negative
plans to include austin to its dallas route  topnews arab emirates httptcoaqZWecOkk2,False,False,True,True,neutral
is it normal to receive no reply from central baggage baggageissues smh,False,False,False,True,negative
at logan airport and waiting to checkin for my 9am flight  checkin desk not open    why  ,True,False,False,False,negative
to jump into the dallasaustin market  httptcoEwwGi97gdx,False,False,True,False,neutral
beats eps views  takes on southwestair va luv  investors business daily httptcoFLwmGDAHxu,False,False,True,True,neutral
lister to my show my on monday 1230 130,False,False,False,False,neutral
to begin dallasaustin flights in april  889 ketr httptcoSSUVWwkyHH,False,False,True,True,neutral
congrats  you just got all my business from ewr to sfo  lax  fuck you fl1289 sfo  ewr was the clincher ,False,False,False,False,negative
i applied over 2 weeks ago  havent heard back and im flying this week disappointed,False,False,False,True,negative
id love to know what your policy is for damaged luggage ,False,False,False,False,neutral
thank you for the follow,False,False,False,False,positive
 too many apologies  you r the worse airlines  dont even respond to your cudtomers,True,False,False,False,negative
shame on va for making people spend money in stranded cities when other airlines are landing at jfk  who will reimburse me ,True,False,False,False,negative
i dm you,False,False,False,False,neutral
can you please have flights in sjc  i have no choice but to fly southwest to vegas 😩 😭,False,True,False,False,neutral
too bad you say it takes 10 to 14 days via your confirmation email  when i inquired after 3 weeks you claim 6 to 8 weeks ,True,False,False,False,negative
flight from bos  las tomorrow was cancelled flightled  no notification  wait times are 1  hour  will you rebook on another airline ,False,False,False,False,negative
😎 rt  you ’ ve met your match  got status on another airline  upgrade   restr  httptcoRHKaMx9VF5  httptcoPYalebgkJt,False,True,True,False,positive
only way to fly  elevate gold,True,False,False,True,positive
if only you guys had flights from cmh ,False,False,False,False,neutral
a lot of  apologies  being thrown out to customers from what i can seevery sad  thanks for nothing  worst airline ever ,False,False,False,False,negative
for all my flight stuff wrong and did nothing about it  had worst flight ever,False,False,False,True,negative
having an issue finding a missing item on a plane  can you help me find which airport my plane headed to next ,False,False,False,False,neutral
you will match my americanairlines status  cool ,True,False,False,True,positive
“  youve met your matchgot status on another airline  upgrade  httptcoH952rDKTqy ”  🙉,False,True,True,False,neutral
trying to book a flight with you guys and your website wont let me  about to lose my business,False,False,False,False,negative
you suck ,True,False,False,False,negative
thanks ,True,False,False,False,positive
just dmd  same issue persisting ,False,False,False,False,negative
because we never recd cancelled flightlation notice we were left w no options to fly out of ps  driving to la for a red eye mon w kids,False,False,False,False,negative
trying to book a flight  your site is down 😁,False,True,False,False,negative
you have any flights flying into boston tomorrow  i need to be home and you cancelled flightled my flight and didnt do anything,False,False,False,False,negative
you stink  flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed  expected better,False,False,False,True,negative
i love your guys song  were dancing to it for our high school dance revue,True,False,False,False,positive
your website is down and im trying to check in ,True,False,False,False,negative
done  thank you for the quick response  apparently faster than sitting on hold ,True,False,False,False,positive
nervous about my flight from dc to lax getting cancelled flightled tomorrow  just sent you a dm to help me ,True,False,False,False,neutral
cool picture of another virginamerica plane off our wing  what a site  httptco5B2agFd8c4,True,False,True,False,positive
keep up the great work ,False,False,False,False,positive
my goodness your people field are amazing under pressure ❤ ️ from texas beatstheothers in crisis please fly me to ny,False,False,False,True,positive
thanks for a great flight from la to boston  pilots did a great job landing in the snow  can we go back to la now  seriously,True,False,False,True,positive
can you please get me to the new york area before monday afternoon,False,False,False,False,neutral
thanks so much for the awesome support  you guys rock ,True,False,False,False,positive
seats in row 8 dont recline should mention that on your website soreback,False,False,False,True,negative
flight 404 delayed 2 hours in la due to mechanical problems  handle like pros but you could have tossed us a free drink ,False,False,False,False,negative
why cancelled flight flights today  no precipitation to be scared of  ❄ ️ ❄ ️ ❄ ️,True,False,False,False,negative
twitter team  you guys killed it for rescheduling me asap  thank you ,True,False,False,False,positive
you guys charged me  100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it  whats the deal ,False,False,False,False,negative
can ’ t access your website from safari on iphone 6  seems to work on mac and ipad  need iphone to add passbook ,False,False,False,False,negative
on ipad and iphone  clicking the checkin link in the email i received at 24hrs before flight,False,False,False,False,neutral
your mobile site is broken  shows    headerelevateuser  numofpointsavailable    0   number   points   wont let me checkin,False,False,False,False,negative
i was really looking forward to my flight  can you let me know when it will be rescheduled  diehardvirgin,False,False,False,True,negative
why cancelled flight flight vx413  one sec its delayed  on my to airport  the next its cancelled flightled  gonna email or call me to reschedule ,False,False,False,False,negative
i did it but there was a problem in the link from the email for checkin  thanks,False,False,False,False,negative
had to change to another airline to get to dc today  why is able to land in dc but not you  cost me  800  ugh,False,False,False,False,negative
i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ,False,False,False,False,negative
when are you putting some great deals from pdx to las or from las to pdx show me your love  httptcoenIQg0buzj,True,False,True,False,positive
wish i can afford to fly with you next friday going back home  love everything about your airline,False,False,False,False,positive
how are you gonna have a deal from dallas to dc but no deal from dc to dallas  sad,False,False,False,True,negative
it ’ s just a bug report  guys,False,False,False,False,neutral
hold times at call center are a bit much,False,False,False,False,negative
like httptcoVPqEm31XUQ,False,False,True,False,positive
site down  help,False,False,False,True,negative
you have the best flight attendant ever    httptcoPxdEL1nq3l,True,False,True,False,positive
awesome  rt  watch nominated films at 35000 feet  meetthefleet oscars httptcoDnStITRzWy,True,False,True,True,positive
thanks so much ,True,False,False,False,positive
trying to reset my password  email never arrives  help ,False,False,False,False,negative
 the only airline based in silicon valley  disruption fcmostinnovative incubator  s httptcowU3LbCNcr9,True,False,True,True,positive
very nicely done  👏,False,False,False,False,positive
i ’ m looking forward to watching the oscars on my flight home tomorrow  i might even get something bubbly to drink  ,True,False,False,False,positive
what is the reason for the delay of the departure of vx 413 from jfk this afternoon ,False,False,False,False,negative
is todays flight from palm springs  ca to jfk in ny cancelled flightled ,False,False,False,False,negative
hahaha 😂 you guys are amazing  i love you guys    💗,True,True,False,False,positive
sounds like fun ,True,False,False,False,positive
any updates on flight 413 from jfk  lax,False,False,False,False,neutral
spruce moose ,True,False,False,False,neutral
the css on your site is a 404 right now  please fix  site unusable ,False,False,False,False,negative
were on flight 910 vegas to boston today  checked in online but our bag count didnt register  can i fix that somehow ,False,False,False,False,negative
classiq  luv virgin america  greetingz,False,False,False,False,positive
hi  im trying to do checkin but the website is not working  i tried 3 different browsers and the problem continues,False,False,False,False,negative
thanks for your great customer service today  for helping me get all my travel sorted out ,True,False,False,False,positive
thanks guys  sweet route over the rockies airplanemodewason,True,False,False,True,positive
love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco  only if i could get an iced coffee ,True,False,False,True,positive
 the passenger in 7d  flt 338 that assaulted me shouldnt have flown  i trust hes banned  crew filed report to,False,False,False,False,negative
current bug on website shows ‘ select departure city ’ when selecting destination city httptcoSLLYIBE2vQ,False,False,True,False,negative
luggage was severely dented  missing wheel coming off baggage claim in san  luggage agent miranda  i think  wasnt any help ,False,False,False,False,negative
thank you for the easy itinerary shift for impending weather  quick  painless  free ,False,False,False,False,positive
if youd love to see more girls be inspired to become pilots  rt our free woaw event march 28 at abq  httptcorfXlV1kGDh,False,False,True,False,neutral
thanks  good times there and back  vodkatonics the entire flight 🍸 sfo,True,False,False,True,positive
beats expectations  shares take off  santa cruz sentinel httptcoqm9dQbai6G,False,False,True,False,neutral
any plans to start flying direct from dal to las ,False,False,False,False,neutral
big love  gratitudempower w  httptco1AGR9knCpf werin oscars2105 vipswagbags  avalonhollywood httptcoybMbGs0dHn,False,False,True,True,neutral
 youre doing a great job adding little luxuries  aesthetics that improve the air travel experience  thank you  keep it up ,True,False,False,False,positive
requested window seat and confirmed window but got stuck in middle seat  not a good way to treat silver member 😒,False,True,False,False,negative
grand budapest hotel oscarscountdown,False,False,False,True,neutral
this is what you missed  next trip to the 407 ,False,False,False,False,neutral
wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience ,True,False,False,True,negative
there is something wrong with you website in safari iphone,False,False,False,False,negative
thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too sweet,False,False,False,True,positive
already checked in so the page expired  x,False,False,False,False,negative
boo for a not refunding a seat upgrade fee i did not want to buy in the first place ,True,False,False,False,negative
shares rise on q4 financial results  usa today httptcolFS4PEFE6y,False,False,True,False,neutral
adds pillows instead of lieflat seats in first class arms race httptcorGYwJBbhm4,False,False,True,False,neutral
i see what you did there ,False,False,False,False,positive
way to take advantage of mayweatherpacquiao ,False,False,False,True,neutral
you know im flying virgin for the fight mayweatherpacquiao,False,False,False,True,neutral
your inflight team makes the experience amazing ,True,False,False,True,positive
cutest salt and pepper shaker ever  just when i think you guys cant get any better you just do  httptcovC6Keulg2J,True,False,True,False,positive
moved my seat with no notice   better seat  is cabin select not behind the row i selected 👎 disappointed,False,False,False,True,negative
shares up on 4q results  httptcoXZ6qeG3nef,False,False,True,False,neutral
fav airline,False,False,False,False,positive
we have a hot female pilot  sweet  dca to sfo  ,True,False,False,False,positive
👍 👍 ✈ ️ ✈ ️ 💗 when are you guys going to start flying to paris   youre welcome  ”,False,False,False,False,neutral
what is your policy on flying after surgery  i am still waiting for answer so i can tell me doctor ,False,False,False,False,neutral
already contacted central baggage  sent dm  is charging me for the dress that was in the lost suitcase help,False,False,False,True,negative
thank you  ,True,False,False,False,positive
is there anything going on with the website  ive been getting a lot of errors past 30 minutes ,False,False,False,False,negative
i think i left something on the plane yesterday  who do i call  ah ,True,False,False,False,neutral
i need you to follow back in order to dm ,False,False,False,False,neutral
need to start flying to  😊 😀 😃 😄,False,True,False,False,neutral
they told to check with the airline regulation first so that is why i contacted you ,False,False,False,False,neutral
i have just checked in flight to sfo from lax  been told as atlantic flying club gold i get no benefits  ,True,False,False,False,negative
husband and i ordered three drinks via my screen and they never came  awesome ,True,False,False,False,negative
sooo are you guys going to leave the seatbelt light on all flight  you can barely call this turbulence ,False,False,False,False,negative
what is your policy on flying after surgery ,False,False,False,False,neutral
posts second consecutive fullyear net profit  httptcotvB5zbzVhg,False,False,True,False,neutral
funny story  your website is broken  you have missing javascript and stylesheets on the checkin process  i dislike this ,True,False,False,False,negative
would love to do more for virgin just like i do for,False,False,False,False,positive
results handily exceed forecasts  httptcogonmRwEM6I,False,False,True,False,neutral
i applied for a position in  and i was wondering if you guys received my application ,False,False,False,False,neutral
achieves a second year of profitability despite revenue pressure   httptcozSuZTNAIJq,False,False,True,False,neutral
gives positive outlook  but sees increased competition  httptcojEu7Od3eYJ,False,False,True,False,neutral
im trying to check into my 1050 am ct flight tmm on the desktop website and its not working  some sort of caching bug  sos,False,False,False,False,negative
weather delays  next few weeks  jfk bos dca,False,False,False,True,neutral
check the website before you go to the airport ,True,False,False,False,neutral
do you guys know your checkin links from emails are broken  httptco2npXB6oBMr,False,False,True,False,negative
pilot says we expect a choppy landing in nyc due to some gusty winds w  a temperature of about 5 degrees  w  the windchill  8,False,False,False,False,neutral
loved it  cant wait for mondays return flight  mostly just to watch the inflight safety video again  sorrynotsorry,False,False,False,True,positive
lost my luggage 4 days ago on flight vx 112 from lax to iad  im calling every day  no responseplease give me back my stuff,False,False,False,False,negative
the flight booking problems section of your website seems to be broken on chrome  might wanna look into that ,False,False,False,False,negative
hi  just wanted to see if you have any new routes planned this year for newark  love flying you guys and hope to do so more ,True,False,False,False,positive
i mean  probably inappropriate while on board  but  its on ,True,False,False,False,positive
happy to spend the day together  lets do this ,True,False,False,False,positive
is saving my sanity right now  httptcoELtBOLjUl9,False,False,True,False,neutral
missed my flight  how does standby work ,False,False,False,False,neutral
 they were very understanding and helped me out  thx  comps,True,False,False,True,positive
brought it all the way across the country today i see httptcoTKaUyGcPmS,False,False,True,False,neutral
thank you  i absolutely will 😎,True,True,False,False,positive
looks like a broken link for your assets httpstcoOArDjjGrrD,False,False,True,False,negative
are you ready   lets say it together   nooo turbulence today   😘,True,True,False,False,neutral
the manage itinerary section of your website seems to be broken for me httpstco2pUJvCElNg,False,False,True,False,negative
cant check in  your site looks like this every time it loads httptcokAcY2AwDbW,False,False,True,False,negative
can u help this 👸 needs urgent treatment in 🇺 🇸 2y old battling cancer could u help with flights 💗 freyasfund,False,False,False,True,neutral
may start service to hawaii from sanfrancisco this year httptcoyPo7nYpRZl biztravel,False,False,True,True,neutral
other carriers are less than half price for a round trip fare  i am stunned  httptcoUKdjjijroW,False,False,True,False,negative
wtf is happening in pdx late flight march such that one way from sfo is   550 ,False,False,False,False,negative
add dtw and im sold ,True,False,False,False,neutral
how about some free drinks on the flight back for the free promo ,False,False,False,False,positive
thanks ,True,False,False,False,positive
momma i made it  😁 😁 😁,True,True,False,False,neutral
please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am  need it returned  call 9143290185 ,False,False,False,False,neutral
help  i was on flight 27 from jkf tonight  seat 7c left portfolio  need it back  ,True,False,False,False,neutral
seattle bound  wifey got me the duffle for vday  shes a keeper    holla    httptcoJlOIbLnair,True,False,True,False,neutral
my luggage is gone  ive filed my paperwork  promised a call  email  still no resolution or response from central luggage ,False,False,False,False,negative
debbie baldwin gave a rockstar performance of the safety demo this evening on vx919 las2sfo bestcrew sherocks,False,False,False,True,neutral
thanks ,True,False,False,False,positive
thanks for taking care of on her flight   rockstars travel,True,False,False,True,positive
thanks for the lovely soft views  travel san to sfo httptcoCnctL7G1ef,True,False,True,True,positive
i requested a mileage challenge for status several weeks ago online but havent heard back  how do i get help with this ,False,False,False,False,negative
just trying to book tickets to nyc and facing super fun broken styling  dont worry  ill keep trying ,False,False,False,False,negative
many thanks for the follow  ourprincess freyasfund usa bandie looking for any help 😍 💗 🇬 🇧 💗 🇺 🇸 💗 🎀 🌏 🎀 httptcoUJfS9Zi6kd,False,True,True,True,neutral
nice  lofty view  silverstatus httptcoF4Tp0dAwbd,False,False,True,True,neutral
applied for status match on feb 1  got confirmation email same day  still no news though  you guys have dropped ball late flightly 😥,False,True,False,False,negative
is my new go to airline,False,False,False,False,neutral
can you help ourprincess in need of some help in usa 🎀 🇬 🇧 🎀 🇺 🇸 🎀 httptco778AzTDaer,False,False,True,True,neutral
